UID          PID    PPID  C STIME TTY          TIME CMD
bansikah    3247    2669  0 08:03 ?        00:01:12 /snap/multipass/10244/bin/multipass.gui --autostarting
bansikah    3258    3121  0 08:03 ?        00:00:00 /usr/libexec/ibus-memconf
bansikah    3259    3121  0 08:03 ?        00:00:19 /usr/libexec/ibus-extension-gtk3
bansikah    3284    2669  0 08:03 ?        00:00:00 /usr/libexec/ibus-portal
bansikah    3335    3121  0 08:03 ?        00:00:13 /usr/libexec/ibus-engine-simple
bansikah    3390    2669  0 08:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
bansikah    3421    2883  9 08:03 ?        00:23:06 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.JKCAD2 -listen 4 -listen 5 -displayfd 6 -initfd 7
bansikah    3458    2669  0 08:03 ?        00:00:04 /usr/libexec/tracker-miner-fs-3
bansikah    3478    2669  0 08:03 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
bansikah    3503    2669  0 08:03 ?        00:00:01 /usr/libexec/gsd-xsettings
bansikah    3565    2669  0 08:03 ?        00:00:01 /usr/libexec/ibus-x11
root        3612       1  0 08:03 ?        00:00:03 /usr/libexec/fwupd/fwupd
bansikah    3631    2669  0 08:03 ?        00:00:00 /usr/libexec/gvfsd-metadata
bansikah    3684    2669  0 08:03 ?        00:00:00 /usr/libexec/glib-pacrunner
_apt        3695    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/http
_apt        3696    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/https
_apt        3697    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/http
_apt        3698    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/http
root        3699    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/cdrom
_apt        3701    1289  0 08:03 ?        00:00:00 /usr/lib/apt/methods/gpgv
bansikah    3818    2847  0 08:04 ?        00:00:01 update-notifier
bansikah    4429    2883  2 08:09 ?        00:04:39 /usr/share/code/code --unity-launch
